museum,acc.no,taxon,MC1.L,MC1.BML,MC1.BDP,MC1.MSML,MC1.MSDP,MC1.HML,MC1.HDP,MC5.L,MC5.BML,MC5.BDP,MC5.MSML,MC5.MSDP,MC5.HML,MC5.HDP,PP3.L,PP3.BML,PP3.BDP,PP3.MSML,PP3.MSDP,PP3.TML,PP3.TDP,IP3.L,IP3.BML,IP3.BDP,IP3.TML,IP3.TDP
CMNH,HTB 1056,Pan_troglodytes,42.93,11.67,15.5,9.51,7.86,10.19,10.46,81.64,10.26,12.03,8.14,7.3,9.87,14.38,64.36,17.24,16.36,13.65,9.57,13.76,11.7,42.78,17.28,14.51,11.05,7.01
CMNH,HTH 1708,Pan_troglodytes,40.99,10.8,12.84,9.03,7.15,9.19,10.31,73.48,9.96,12.12,8.57,7.23,11.16,15.54,64.1,17.79,15.79,13.64,8.23,12.13,10.86,45.91,15.79,12.66,10.4,7.87
CMNH,HTB 1718,Pan_troglodytes,43.15,12.27,12.51,9,7.21,9.06,9.03,83.75,10.74,9.36,8.41,6.35,9.7,13.64,62.07,18.18,14.41,14.34,9.14,12.26,11.31,44.21,15.54,11.61,9.02,6.85
CMNH,HTH 1722,Pan_troglodytes,44.72,12.07,12.77,9.58,7.4,10.08,10.08,80.25,10.23,10.33,8.23,6.64,9.87,13.66,63.29,18.06,15.37,14.71,10.06,12.79,11.54,41.33,17.23,12.47,10.44,7.8
CMNH,HTB 1738,Pan_troglodytes,41.19,10.83,12.49,8.53,7.57,9.41,11.74,80.52,9.67,11.57,9.06,6.66,10.31,13.12,61.5,17.28,15.55,14.11,8.97,12.79,10.75,45.17,16.51,13.46,10.13,7.78
CMNH,HTB 1739,Pan_troglodytes,39.22,12.92,13.43,8.3,5.66,9.19,9.5,76.91,9.77,10.14,8.69,6.69,10.31,13.41,59.96,17.78,15.61,13.23,8.44,12.13,10.65,44.49,16.48,11.72,8.65,7.23
CMNH,HTB 1758,Pan_troglodytes,41.17,11.57,12.33,8.65,8.02,9.13,10.19,79.74,9.74,9.92,8.77,6.51,9.61,13.19,60.38,17.8,15.3,15.18,9.14,12.57,11.08,45.63,15.96,11.95,10.8,7.71
CMNH,HTB 2026,Pan_troglodytes,45.19,12.18,14.64,9.14,7.76,10.58,10.36,79.98,9.64,11.9,7.94,6.56,10.46,14.09,63.19,19.06,15.66,15.43,10.65,14.69,11.27,47.61,18.01,12.96,11.14,8
CMNH,HTB 1745,Pan_troglodytes,36.85,10.25,11.84,7.96,7,9.18,10.54,74.33,7.65,10.43,7.27,8.32,9.68,12.92,59.78,14.72,14.15,12.5,8.94,11.82,10.77,43.78,14.6,12.46,9.1,7.41
CMNH,HTB 543,Pan_troglodytes,40.47,11.87,13.2,9.18,6.87,10.47,11.29,71.31,10.1,11.11,7.35,6.17,10.65,13.89,58.49,17.34,15.22,14.68,9,13.8,11.41,41.91,15.5,11.2,9.81,7.62
CMNH,HTB 1726,Pan_troglodytes,42.52,11.89,13.96,9.51,7.11,9.71,10.78,79.9,8.58,11.93,9.11,7.3,11.28,16.02,57.29,16.52,16.14,13.48,9.36,12.17,10.76,42.37,15.29,12.15,10.63,7.73
RMCA,29044,Pan_paniscus,42.4,11.41,12.23,8.35,6.89,10.6,9.98,72.67,9.16,8.74,7.37,6.25,8.76,11.16,53.38,15.03,13.11,10.85,6.52,11.88,9.45,38.48,13.44,10.1,8.78,6.45
RMCA,29060,Pan_paniscus,40.91,9.24,12,6.64,5.89,9.14,9.04,72.46,8.17,8.74,5.93,5.29,8.56,12.42,57.24,13.29,12.91,10.13,6.34,10.71,9.17,39.32,12.32,9.35,8.97,6.46
RMCA,29047,Pan_paniscus,43.6,11.52,13.2,7.93,6.56,9.56,10.99,77.97,8.96,11.94,7.29,5.67,9.38,12.26,63.5,15.6,15.76,11.31,7.64,13.13,10.37,44.59,15.07,11.1,10.21,6.11
RMCA,27696,Pan_paniscus,39.55,11.54,12.69,8.63,6,8.51,9.37,73.55,7.22,9.21,6.74,5.97,8.08,10.89,55.88,15.56,13.43,10.46,7.57,11.11,10.17,41.05,14.03,10.69,8.27,6.6
RMCA,29040,Pan_paniscus,40.05,10.99,12.75,8.8,7.14,9.89,10.58,72.75,7.93,8.01,6.81,6.09,9.08,11.17,57.49,15.26,14.18,11.68,8.07,12.03,10.04,41.57,13.75,10.1,9.35,7.02
RMCA,20881,Pan_paniscus,35.64,10.63,12.58,8.25,6,8.82,10.23,61.63,8.32,8.13,5.72,5.67,7.12,11.34,49.3,13.35,12.3,9.36,6.68,10.72,9.33,34.05,12.12,9.5,8.04,5.77
RMCA,20882,Pan_paniscus,36.52,9.93,10.4,6.55,5.68,8.28,8.84,64.58,8.22,7.89,6.14,5.52,7.41,10.56,50.1,12.92,11.94,9.64,6.59,10.31,7.89,34.59,12.08,8.63,7.62,5.52
RMCA,29052,Pan_paniscus,40.63,10.59,12.29,7.5,6.56,9.87,9.66,70.73,7.08,8.73,6.41,6.08,8.29,11.98,58.02,14.97,14.26,9.91,7.01,11.41,10.66,41.74,14.31,10.23,8.95,7.02
RMCA,29035a,Pan_paniscus,39.06,10.54,11.63,7.16,6.14,9.21,9.27,69.79,7.97,7.98,6.99,5.66,9.12,11.69,54.25,14.44,14.25,11.21,8.1,11.81,9.53,32.96,12.64,9.69,7.74,6.62
RMCA,29042,Pan_paniscus,37.64,10.15,12.22,7.64,5.87,8.52,9.94,70.07,9.09,8.84,6.4,5.71,8.37,11.29,53.12,15.17,14.34,11.48,8.58,11.9,10.04,38.69,14.35,11.2,9.45,6.62
RMCA,15294,Pan_paniscus,38.05,10.1,11.91,7.38,5.58,7.68,8.45,70.67,7.64,7.52,5.44,6.51,6.43,10.4,51.89,13.23,12.26,10.63,6.51,10.01,9.14,37.17,12.98,8.88,9,5.51
RMCA,27698,Pan_paniscus,37.51,10.25,11.38,7.63,6.65,8.48,8.45,68.8,7.49,9.35,6.05,6.41,7.44,11.32,53.04,14.27,13.46,11.12,7.43,10.81,10.14,37.66,13.36,10.11,8.75,6.51
RMCA,15296,Pan_paniscus,35.01,8.99,11,7.11,5.25,6.87,8.12,67.18,6.41,7.47,5.9,5.94,6.83,10.56,51.39,12.78,12.32,10.65,6.58,9.72,8.69,36.05,11.81,8.51,7.48,5.24
RMCA,15293,Pan_paniscus,36.69,9.74,11.32,7.74,6.09,8.37,8.24,67.86,8.46,7.92,5.64,5.39,6.84,10.27,52.31,13.58,12.78,10.62,6.5,10.97,8.56,37.65,13,9.27,8.11,5.51
RMCA,29045,Pan_paniscus,39.35,10.75,12.29,8.44,6.45,8.92,10.52,68.63,8.44,8.76,6.81,6,8.45,11.82,53.57,13.37,13.71,10.61,8.09,11.21,9.44,38.7,12.69,9.96,8.97,7.2
RMCA,15295,Pan_paniscus,34.61,9.73,11.09,7.07,5.39,7.59,8.46,67.83,6.06,8.24,5.56,5.71,7.17,11.58,53.26,13.9,12.68,10.34,6.73,10.56,9.43,38.77,12.87,9.53,8.39,6.64
MCZ,38018,Pan_paniscus,41.23,9.97,11.16,6.44,5.57,7.3,5.5,77.44,8.94,10.2,6.08,5.67,8.42,12.5,57.93,14.51,13.45,10.92,7.4,11.3,10.58,38.61,13.9,9.84,8.14,5.94
MCZ,38019,Pan_paniscus,37.42,11.6,11.85,7.58,5.62,9.35,8.32,68.18,7.3,8.22,5.6,5.06,7.8,11.54,52.2,13.95,13.08,11,7.12,11,9.8,36.48,13.06,10.42,8.55,6.4
AMNH,54091,Gorilla_beringei_beringei,42.13,12.2,13.69,10.68,7.08,10.28,9.93,69.24,12.12,12,9.92,7.75,12.25,14.93,50.65,17.42,14.14,14.49,10.42,12.76,9.46,34.06,14.56,11.1,10.76,6.02
AMNH,54090,Gorilla_beringei_beringei,50.19,17.26,17.03,14.09,11.25,15.33,13.32,81.32,14.43,14.16,16.2,8.95,17.08,18.08,57.18,21.56,17.89,18.82,11.47,16.06,12.71,39.07,18.66,13.49,12.33,7.67
AMNH,115609,Gorilla_beringei_beringei,52.65,16.42,18.21,13.56,9.46,15.17,14.38,91.35,17.88,17.63,17.11,10.6,17.29,19.86,68.21,25.24,20.27,25.52,13.12,18.44,14.99,48.72,22.68,14.95,15.8,9.83
AMNH,235603,Gorilla_beringei_beringei,50.85,16.46,20.23,13.33,9.09,14.24,15.13,93.73,17.24,18.11,11.27,11.49,14.96,20.68,66.64,25.13,21.8,20.94,12.44,18.17,13.5,47.02,22.51,14.84,15.25,8.82
RMCA,2257,Gorilla_beringei_beringei,49.07,18.16,20.59,18.16,11.24,13.48,13.82,80.3,17.19,16.79,15.76,10.09,16.07,17.58,57.28,22.01,17.15,20.52,12.67,14.83,11.86,38.12,18.63,13.29,13.13,7.52
RMCA,2263,Gorilla_beringei_beringei,40.15,13.98,14.11,11.48,8.44,11.08,11.62,67.66,13.61,12.03,9.92,7.36,12.55,14.12,49.12,17.76,14.95,16.3,10.6,13.38,9.54,34.17,15.9,10.99,10.85,6.68
RMCA,8608,Gorilla_beringei_beringei,42.02,15.57,15.67,12.2,7,10.85,12.09,73.3,12.6,15.34,12.76,7.91,13.71,16.94,54.21,19.29,15.73,16.95,8.65,13.97,10.87,36.6,15.21,11.29,11.5,6.49
USNM,239883,Gorilla_beringei_beringei,54.82,18.68,23.2,15.66,10,14.92,14.67,86.84,17.53,17.33,13.44,8.43,17.68,10.5,59.8,24.05,18.98,22.52,12.52,16.82,13.6,41.6,19.15,14.9,14.22,8.6
USNM,395636,Gorilla_beringei_beringei,47.96,18.25,20.92,16.6,10.56,14.7,13.27,81.63,17.72,15.5,16.07,8.58,15.2,19.22,58.2,21.28,17,18.97,11.48,15.86,12.32,39.84,19.18,12.48,13.55,8.2
USNM,397351,Gorilla_beringei_beringei,48.63,17.52,20.2,14.28,10.83,14.12,14.7,80.8,20.3,16.23,14.48,7.4,14.48,17.35,60.09,21.33,18.19,20.11,11.41,15.98,13.25,42.4,18.24,14.17,15.21,9.98
USNM,545045,Gorilla_beringei_beringei,44.52,14.45,15.4,11.9,7.33,11.46,11.4,74.33,11.96,12.26,10.86,7.27,11.82,14.19,52.39,18.24,16,15.48,9.62,13.53,10.15,37.29,15.39,11.66,11.52,7
USNM,545041,Gorilla_beringei_beringei,50.4,16.37,17.28,15.52,7.74,14.36,12.92,84.7,16.08,13.4,13.16,8.02,13.46,14.8,59.53,20.07,15.87,18.9,10.13,14.34,11.08,39.6,15.82,11.76,11.96,6.61
USNM,545046,Gorilla_beringei_beringei,40.79,12.35,12.72,10.25,7.09,10.44,9.7,68.56,11.77,13.04,10.06,7.43,10.64,13.14,48.35,17.21,13.82,14.85,8.65,12.58,9.32,33.81,14.34,10.25,10.77,6.09
RMCA,27755,Gorilla_beringei_graueri,38.8,14.04,14.97,10.35,7.42,12.14,11.42,65.02,12.65,12.86,8.41,9.4,12.35,15.78,52.81,16.68,14.57,16.16,9.79,13.78,10.59,38.44,15.07,11.42,11.46,6.93
RMCA,17785,Gorilla_beringei_graueri,47.83,18.24,17.66,13.55,9.46,17.1,14.51,88.64,17.25,16.08,13.1,8.71,16.56,17.88,60.59,23.17,18.25,22.66,12.05,16.96,13.9,44.37,19.87,14.22,14.29,9.29
RMCA,27839,Gorilla_beringei_graueri,38.34,13.92,13,10.98,7.26,11.57,10.92,68.11,13.03,11.84,9.02,7.43,11.67,15.05,51.76,17.32,14.15,16.3,9.66,13.17,10.55,36.48,15.17,11.03,11.08,6.53
RMCA,807,Gorilla_beringei_graueri,37.72,13.5,12.9,10.05,7.52,9.9,10.82,65.72,12.26,11.64,8.61,6.61,11.17,14.88,49.63,16.8,13.59,15.17,9.29,12.38,10.28,34.12,14.57,10.76,10.36,6.36
RMCA,27222,Gorilla_beringei_graueri,46.06,16.3,17.71,15.07,9.77,14,13.14,79.52,16.66,16.46,12.48,9.69,15.21,17.92,60.35,19.35,16.73,18.37,10.38,15.02,12.14,41,16.44,12.2,12.95,7.57
RMCA,813,Gorilla_beringei_graueri,41.64,12.98,13.39,9.62,6.39,11.03,10.89,67.6,13.76,11.83,9.15,7.46,11.32,14.73,51.13,16.41,13.05,14.11,8.41,11.97,9.73,35.11,14.23,11.03,10.64,6.14
RMCA,9581,Gorilla_beringei_graueri,46.38,14.69,19.17,12.74,9.23,14.09,12.73,86.25,19.21,16.19,13.24,10.46,15.97,17.97,61.48,23.4,17.76,20.24,12.77,17.34,13.24,42.62,21.61,14.92,14.55,8.87
MCZ,23182,Gorilla_beringei_graueri,53.17,19.2,18.5,14.6,10,15.5,14.67,90.95,17.78,16.16,9.88,10.35,15.85,17.97,65.3,24.68,17.63,21.22,11.81,17.7,14.15,46.8,20.94,14.98,14.6,9.31
MCZ,38017,Gorilla_beringei_graueri,50.05,17.46,18.24,15.78,9.9,14.72,13.14,86.42,17,15.35,14,9.2,17.92,20.07,63.74,21.6,17.3,22.45,11.93,16.5,13.24,44.62,18.86,12.94,13.95,8.63
FMNH,27551,Gorilla_beringei_graueri,49.92,16.6,19.2,14.4,8.8,14.44,13.71,84.73,15.9,16.04,11.7,9.7,15.5,19.9,60.1,21.31,17.13,20.27,11,16.1,12.31,43.15,18.08,14.2,14.08,8.3
CMNH,HTB 2787,Gorilla_gorilla,44.29,13.75,13.64,10.08,5.85,11.69,10.81,76.01,11.4,12.52,7.16,7.71,11.18,14.69,51.65,18.75,16.25,15.77,9.11,14.53,10.94,29.68,17.69,12.41,12.8,8.75
CMNH,HTB 1997,Gorilla_gorilla,47.01,14.24,15.35,10.11,7.55,12.02,10.5,76.3,11.32,11.2,9.57,8.09,11.27,12.78,54.27,20.3,16.92,17.31,11.19,14.15,10.53,39.68,18.27,12.6,10.8,6.71
CMNH,HTB 1999,Gorilla_gorilla,45.49,13.3,14.87,11.5,7.24,9.81,10.88,74.97,10.6,12.41,10.03,6.82,11.29,13,54.1,18.35,16.31,15.82,10.45,13.07,9.72,37.19,17.1,11.51,10.09,6.67
CMNH,HTB 2784,Gorilla_gorilla,47.2,14.11,13.96,10.96,6.87,12,12.03,80.37,11.3,11.47,8.76,7.05,11.92,14.29,56.57,18.97,16.78,15.5,10.63,13.86,10.86,40.32,16.64,11.81,11.15,6.98
CMNH,HTB 3405,Gorilla_gorilla,39.77,13.82,13.75,9.87,6.68,10.29,10.34,71.68,10.44,11.59,7.64,7.38,11.71,13.31,51.77,19.25,15.97,14.36,9.92,12.57,10.06,36.2,16.47,11.73,10.9,6.95
CMNH,HTB 1710,Gorilla_gorilla,43.06,11.73,14.1,9.62,7.36,9.99,11.15,73.59,11.51,11.06,8.11,8.37,10.58,13.55,50.47,17.59,17.3,14.71,9.88,12.46,9.65,36.02,15.83,11.49,10.02,6.81
CMNH,HTB 1725,Gorilla_gorilla,44.46,15.33,15.1,10.1,8.22,12.09,11.39,72.4,12.53,12.65,8.82,8.03,11.22,12.99,51.79,19.55,16.13,15.5,11.71,13.59,10.77,38.1,17.69,12.21,11.24,7.51
CMNH,HTB 1756,Gorilla_gorilla,40.27,14.59,14.06,8.31,6.89,10.83,11.38,70.88,10.85,12.18,8.64,6.44,12.71,15.66,49.63,18.31,15.65,14.42,10.57,13.24,10.69,35.17,16.61,12.78,11.14,6.56
CMNH,HTB 2000,Gorilla_gorilla,53.23,16.43,20.1,11.48,9.55,14.75,14.24,91.84,16.48,16.7,12.08,11.13,16.61,18.73,60.12,24.62,19.38,22.2,13.37,16.7,12.93,45.03,21.33,13.92,13.49,8.87
CMNH,HTB 2767,Gorilla_gorilla,53.58,17.09,18.91,11.21,7.96,11.82,13.08,87.98,15.52,13.99,10.17,7.39,12.79,15.75,63.74,22.74,19.19,18.75,14.37,16.07,13.08,46.11,20.81,14.92,13.61,8.91
CMNH,HTB 2741,Gorilla_gorilla,61.56,18.79,21.49,11.43,9.03,16.19,14.3,101.07,16.54,16.92,10.3,9.88,18.29,19.01,71,25.06,21.32,19.69,13.39,17.62,13.56,49.47,22.34,14.94,14.49,8.32
CMNH,HTB 2739,Gorilla_gorilla,58.37,16.95,18.08,11.76,8.8,14.94,14.94,95.35,15.52,16.09,10.23,10.69,16.43,18.31,66.44,24.76,20.08,20,14.33,17.3,13.22,47.21,21.4,14.58,13.82,8.57
CMNH,HTB 2826,Gorilla_gorilla,56.94,17.77,20.82,12.78,10.03,15.77,14.54,96.15,15.46,16.68,11.07,10.19,17.34,19.68,65.42,23.13,20.64,19.62,13.75,17.36,14.1,45.94,21.95,16.07,13.88,9.82
CMNH,HTB 1057,Gorilla_gorilla,46.18,16.86,15.66,12.15,8.51,11.7,13.34,85.95,15.09,15.68,10.39,10.55,14.64,15.92,63.4,22.86,18.86,18.49,12.69,15.36,13.31,43.42,19.43,14.47,13.28,9.12
CMNH,HTB 1430,Gorilla_gorilla,49.44,17.3,18.64,13.3,9.82,13.4,14.11,90.37,16.64,16.62,12.08,10.16,15.99,18.01,60.17,24.36,20.29,18.7,12.65,16.48,13.03,41.97,20.79,14.04,13.46,9.2
CMNH,HTB 1431,Gorilla_gorilla,57.42,18.08,18.07,12.25,9.55,14.95,13.65,89.51,14.85,14.37,10.19,8.72,14.71,15.44,63.3,22.73,19.95,20.91,13.43,17.44,13.64,45.45,20.75,15.08,13.7,8.62
CMNH,HTB 1709,Gorilla_gorilla,52.44,19.06,20.31,13.69,8.55,14.29,14.02,94.31,13.55,14.93,11.89,9.14,15.11,16.36,64.89,25.15,20.32,21.52,13.19,17.55,13.72,44.84,21.95,15.42,13.9,9.24
CMNH,HTB 1732,Gorilla_gorilla,56.79,16,17.84,13.21,9.57,14.64,14.02,97.17,15.59,15.79,11.5,10.38,15.56,17.21,63.51,26.61,22.04,20.26,12.89,17.81,13.85,47.85,22.85,15.7,13.83,8.51
RMCA,17202,Gorilla_gorilla,39.8,13.47,13.18,8.13,6.09,9.37,10.44,74.6,11.83,11.12,7.41,7.29,11.12,13.68,52.36,17.8,15.66,15.06,9.99,13.33,10.54,35.9,16.34,11.82,11.35,7.16
RMCA,9291,Gorilla_gorilla,46.11,17.06,17.46,10.27,8.73,13.18,12.36,88.58,16.12,14.13,10.09,9.77,13.7,14.92,60.74,21.39,16.81,16.65,12.12,14.43,11.19,42.84,19.31,13.37,12.23,7.75
AMNH,81651,Gorilla_gorilla,53.1,20.26,18.72,14.23,8.99,13.66,15.01,96.9,15.93,15.87,12.04,10.44,16.76,19.18,69.78,24.4,21.55,20.71,8.36,17.54,13.32,46.16,23.01,14.97,13.69,7.66
AMNH,81652,Gorilla_gorilla,44.22,14.65,14.5,10.12,7.69,11.15,11.33,77.45,14.26,12.81,7.65,7.83,13.54,14.57,54.67,19.74,16.95,15.7,7.56,15.34,11.13,39.16,18.51,12.71,12.19,7.38
AMNH,214103,Gorilla_gorilla,46.75,17.6,17.04,10.92,7.06,12.02,12.28,92.26,16.34,14.35,10.34,8.78,14.27,16.51,62.68,23.5,19.96,18.46,8.34,16.02,13.25,45,19.64,14.21,13.63,8.66
AMNH,167340,Gorilla_gorilla,43.83,13,14.67,8.64,7.26,10.62,11.63,73.94,12.67,12.41,7.78,7.68,11.37,13.75,55.73,19.71,16.71,15.44,7.75,14.39,11.08,39.18,17.15,12.75,11.37,7.07
AMNH,54327,Gorilla_gorilla,41.9,15.83,14.83,9.92,6.34,10.39,11.48,74.34,14.81,12.42,9.09,7.38,12.08,13.64,51.63,20.32,15.18,16.82,7.17,13.77,10.66,36.14,17.91,11.43,11.54,7.78
AMNH,167335,Gorilla_gorilla,54.07,17.62,18.93,14.01,9.06,17.31,15.38,90.19,16.31,15.37,11.1,9.32,13.65,17.64,64.19,22,20.11,19.83,10.6,15.7,12.33,45.89,19.17,13.89,12.22,8.13
AMNH,167338,Gorilla_gorilla,56.26,17.25,19.34,14.08,9.6,16.29,15.05,100.75,15.74,17.28,12.84,11.03,15.28,17.35,64.26,23.53,19.38,20.47,11.9,16.11,12.59,45.89,19.82,13.65,14.67,8.02
USNM,176225,Gorilla_gorilla,51.09,19.31,20.25,13.33,11.83,16.33,14.7,93.16,17.71,15.71,12.94,9.8,15.54,18.4,64.95,24.48,19.92,19.53,12.98,19.87,14.29,41.21,21.26,15.34,12.46,8.38
USNM,220324 J,Gorilla_gorilla,50.76,15.24,16.03,10.19,8.06,14.42,14.25,94.73,13.75,13.48,11.97,10.85,13.82,17.12,69.45,21.89,18.56,18.28,10.86,15.71,12.43,48.03,18.89,12.92,13.52,8.01
EvoMorph,1,Gorilla_gorilla,52.18,16.89,17.43,12.55,8.25,15.95,13.42,90.08,16.26,15.83,9.65,8.64,90.07,17.46,62.53,22.4,21.04,18.75,9.32,16.54,14.14,43.2,19.08,14.35,13.74,9.47
MVZ,174521,Gorilla_gorilla,47.8,16.67,15.75,13.58,7.65,12.55,13.87,81.63,15.9,15.22,7.88,10.78,13.28,16.21,61.6,21.37,17.98,16.55,12.21,15.75,12.02,44.6,21.06,13.92,12.78,7.29
MVZ,38931,Gorilla_gorilla,53.67,19.56,20,14.43,10.42,14.24,14.19,90.74,16.25,16.38,10.81,9.87,15.82,17,62.91,23.91,19.46,19.16,12.53,15.95,12.94,46,21.17,14.18,13.33,8.49
MVZ,38930,Gorilla_gorilla,59.57,19,20.89,13.85,9.14,15.3,15.51,96.09,16.17,16.55,12.64,9.68,15.84,17.6,64.66,25.56,20.42,19.32,13.23,17.24,14.16,44.45,22.16,15.06,13.71,8.91
MCZ,38326,Gorilla_gorilla,40.8,12.22,14.3,9.38,5.9,10,11.3,74.27,11.65,11.38,7.39,7.82,11.12,13.15,51,17.1,15.45,15.19,9.33,12.6,9.5,36.65,14.41,10.4,9.87,6
MCZ,17684,Gorilla_gorilla,42.96,14.24,15.1,10.6,6.64,12.12,11.5,71.77,13,12.42,8.73,7.42,11.66,14.13,53.7,20.42,16.6,16.46,10.34,13.64,11.23,37.55,17.74,12.42,10.66,7.23
MCZ,29048,Gorilla_gorilla,53.5,18.2,19.54,14.6,9.6,13.18,13,93.07,16.77,14.86,11.78,9.63,13.86,17.24,64.8,24.7,19.8,19.97,13.2,15.36,13.35,46.56,21.8,15.8,13.66,8.84
USNM,143588,Pongo_abelii,43.6,10.95,13.18,7.45,5.85,9.8,9.65,79.73,7.68,13.11,7.6,6.07,11.75,14.11,71.31,15.55,15.84,13,8.04,11.4,10.4,46.03,14.74,12.26,9.91,7.21
USNM,143594,Pongo_abelii,54.25,14.33,16.02,8.69,6.3,11.71,11.21,89.11,9.6,11.4,9.95,6,12,14.28,77.6,16.81,16.54,12.45,7.86,12,11.85,53.91,15.91,12.25,10.44,7.66
USNM,267325,Pongo_abelii,48.35,14.03,14.5,8.42,6.4,11.7,11.03,92.74,9.78,13.66,9.36,6.53,14.42,14.68,77.36,17.52,16.8,11.3,8.14,13.35,12.48,49.45,15.94,13.3,10.46,7.55
USNM,A22937,Pongo_abelii,43.37,11.65,11.7,7.34,5.32,10.05,9.48,77.05,8.55,12.65,6.87,6,11.08,13.11,63.79,12.6,12.6,11.68,7.03,10.8,9.28,41.64,12.71,9.98,8.87,6.35
EvoMorph,1,Pongo_pygmaeus,57.19,15.46,17.21,8.99,8.87,13.66,13.32,94.88,10.88,17.11,11.27,9,14,16.5,79.56,17.46,17,11.69,8.3,12.96,11.39,52.3,16.97,12.98,10.6,7.77
AMNH,28252,Pongo_pygmaeus,52.42,11.92,13.08,7.57,5.96,9.91,10.5,97.77,9.39,13.55,8.78,6.53,12.62,15.38,76.17,13.99,15.32,13.27,7.49,12,10.77,47.46,13.4,11.82,9.34,6.86
AMNH,61586,Pongo_pygmaeus,54.42,11.45,11.18,8.88,11.72,12.72,14.26,95,8.03,15.95,9.58,7.69,13.34,17.16,77.94,16.64,16.03,14.62,10.49,13.6,11.04,51.12,17.01,11.35,11.36,7.44
AMNH,200898,Pongo_pygmaeus,38.85,9.96,10.15,5.68,4.98,8.97,8.62,71.58,7.97,10.5,5.74,5.33,9.48,12.38,63.69,12.81,12.99,9.42,6.47,10.55,7.93,40.63,12.6,11,9.6,6.07
AMNH,200900,Pongo_pygmaeus,38.65,8.97,10.95,6.22,4.86,10.24,9.34,84,8.93,11.87,7.14,6.38,10.23,15.14,69.5,11.9,11.36,10.59,6.99,12.24,10.33,44.84,14.83,11.47,10.07,6.82
AMNH,239847,Pongo_pygmaeus,43.74,12.23,11.77,8.89,5.5,9.58,9.54,88.48,8.4,11.84,7.88,7.59,11.33,14.34,70.33,14.23,14.94,11.22,8.45,11.44,10.63,43.76,13.63,10.44,9.13,6.46
